id,KtAR,KtACF,KtRETURNRATE,KtDENSITYRATIO,KtSD,KtCV,KtSK,KtKU
1,"-0,723","-0,713","0,723","-0,713","0,193",0,"-0,449","-0,675"
2,"0,702","0,724","-0,702","0,724","0,72",0,"0,659","0,203"
3,"-0,769","-0,78","0,769","-0,78","0,166",0,"-0,799","-0,865"
4,"0,757","0,745","-0,757","0,745","0,279",0,"0,455","-0,599"
5,"0,642","0,647","-0,642","0,647","0,3",0,"-0,32","-0,639"
6,"-0,058","-0,174","0,058","-0,174","0,246",0,"0,123","-0,067"
7,"0,3","0,269","-0,3","0,269","0,515",0,"0,537","0,463"
8,"0,071","0,042","-0,071","0,042","0,325",0,"0,095","0,019"
9,"-0,207","-0,247","0,207","-0,247","-0,289",0,"-0,345","-0,245"
10,"0,227","0,27","-0,227","0,27","-0,219",0,"0,261","-0,426"
11,"0,276","0,288","-0,276","0,288","-0,575",0,"-0,666","-0,497"
12,"0,137","0,173","-0,137","0,173","-0,163",0,"-0,618","-0,787"
13,"-0,102","-0,158","0,102","-0,158","0,402",0,"0,777","0,618"
14,"-0,712","-0,743","0,712","-0,743","-0,97",0,"-0,528","0,236"
15,"0,426","0,382","-0,426","0,382","0,435",0,"-0,021","0,528"
16,"0,346","0,38","-0,346","0,38","-0,065",0,"0,202","-0,582"
17,"0,568","0,596","-0,568","0,596","-0,702",0,"0,478","0,475"
18,"0,604","0,665","-0,604","0,665","-0,159",0,"0,314","0,178"
19,"0,09","0,162","-0,09","0,162","0,694",0,"-0,399","-0,246"
20,"-0,064","0,01","0,064","0,01","-0,549",0,"0,208","0,262"
21,"0,698","0,691","-0,698","0,691","0,716",0,"0,519","0,418"
22,"0,41","0,447","-0,41","0,447","-0,68",0,"-0,664","-0,443"
